TCGA-BR-6453-11A-01R-1802-13	TCGA-BR-6454-11A-01R-1802-13	TCGA-BR-6457-11A-01R-1802-13	TCGA-BR-6458-11A-01R-1802-13	TCGA-BR-6564-11A-01R-1884-13	TCGA-BR-6802-11A-01R-1884-13	TCGA-BR-6852-11A-01R-1884-13	TCGA-BR-7703-11A-01R-2055-13	TCGA-BR-7704-11A-01R-2055-13	TCGA-BR-7715-11A-01R-2055-13	TCGA-BR-7716-11A-01R-2055-13	TCGA-BR-7717-11A-01R-2055-13	TCGA-BR-7851-11A-01R-2203-13	TCGA-BR-8060-11A-01R-2343-13	TCGA-CG-5720-11A-01R-1602-13	TCGA-CG-5721-11A-01R-1602-13	TCGA-CG-5722-11A-02R-1602-13	TCGA-CG-5728-11A-01R-1602-13	TCGA-CG-5730-11A-01R-1602-13	TCGA-CG-5733-11A-01R-1602-13	TCGA-CG-5734-11A-01R-1602-13	TCGA-FP-7735-11A-01R-2055-13	TCGA-FP-7829-11A-01R-2055-13	TCGA-HU-8238-11A-01R-2343-13	TCGA-HU-A4G3-11A-11R-A24K-31	TCGA-HU-A4GC-11A-11R-A251-31	TCGA-HU-A4GN-11A-12R-A251-31	TCGA-HU-A4GP-11A-21R-A251-31	TCGA-HU-A4HB-11A-11R-A251-31	TCGA-IN-7806-11A-01R-2055-13	TCGA-IN-8462-11A-01R-2343-13	TCGA-IN-8663-11A-01R-2402-13	TCGA-IP-7968-11A-01R-2203-13
?|653553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|729884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|8225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|90288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG|1	1.1206	0.8528	0.8725	0.7474	0.7497	2.0282	1.6163	0.646	0.5682	2.3484	0.5776	1.5124	0.4869	0.3695	1.0259	1.3146	0.8832	1.3424	1.0462	1.226	1.0859	0.3829	0.3515	0.3505	0.269	0.4011	0.4284	0.4846	0.5672	0.2759	0.4629	0.5296	0.7002
A1CF|29974	6.1324	0.5981	6.4185	0.3415	7.5269	0.6556	0.0595	0.0529	1.2879	0.2618	0.3083	0.0717	15.5484	0.0476	3.2273	0.0674	0.2932	0.1554	12.7727	0.124	7.2711	0	0	15.7616	0.0027	0.0113	1.5558	0.0159	0.0519	0.0015	0.0137	0	0.0558
A2BP1|54715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LD1|87769	3.4383	2.1836	3.0027	3.5807	2.6804	4.0757	2.5525	3.4884	2.001	3.09	2.5835	2.5392	4.8484	3.5446	3.6768	3.4593	2.4646	2.3291	3.7558	2.9411	3.591	1.4739	1.3787	3.7704	1.7547	2.7405	3.4654	2.2968	3.7227	0.9953	2.1804	1.7357	1.5337
A2ML1|144568	0.0227	0.0168	0	0.0034	0.0217	0	0.0642	0.0201	0.0222	0.0207	0.0186	0.0031	0.0035	0.0076	0.0097	0	0.0034	0.0112	0.0029	0.0096	0	0.0264	52.3695	0	0.0837	0.0466	0.0371	0.0435	0.024	809.4415	479.0282	722.8468	239.0252
A2M|2	113.7563	177.9637	117.1637	107.559	181.5603	36.5181	67.1561	91.5531	235.7945	124.4542	91.9431	98.8836	83.5432	168.8602	81.835	85.5539	94.4626	84.6115	129.2703	92.5805	86.9077	211.0922	352.7952	39.9285	161.2518	194.951	224.4485	156.0762	166.7601	38.7521	34.429	19.4664	206.7548
A4GALT|53947	4.4705	6.2246	3.8092	4.1218	6.4036	3.5735	3.7473	5.6473	13.6769	7.6776	6.4347	7.2103	2.9369	8.5572	4.0746	6.5907	5.5128	5.6031	3.5902	3.8865	5.5441	15.5276	18.9317	1.4108	11.0369	13.8635	10.3659	11.6464	14.6672	7.9623	7.1055	7.0768	15.1865
A4GNT|51146	3.1725	11.3975	4.7966	36.7617	3.7407	19.7527	11.9468	10.3764	8.4844	25.1197	15.998	11.1012	0.8429	3.1452	17.6591	4.8111	13.6109	8.2329	0.564	22.011	0.9184	0.0197	0.0189	0.7034	0	0.0142	0.0096	0.0307	0.0553	8e-04	0.0283	0	0.193
AAA1|404744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS|8086	17.6133	15.5128	14.2502	16.5295	15.2029	10.277	15.9097	18.3083	17.3815	19.7354	19.0316	18.8625	17.298	13.6809	17.5109	14.2979	16.9846	15.9418	15.9044	15.566	15.9783	16.6868	17.3326	12.3578	13.3527	14.5732	11.4256	14.6789	12.1292	16.2442	12.4592	7.1364	13.0592
AACSL|729522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS|65985	7.6146	7.5188	9.2273	11.7575	9.0326	6.1221	12.5544	11.5878	5.4605	6.0508	12.5728	6.476	8.8945	5.3215	8.5947	10.9513	14.8256	5.7257	4.6409	5.9114	7.8622	2.4072	3.7533	8.2902	2.1088	2.0505	2.8518	2.1281	1.7625	13.7446	16.3903	10.7777	12.0686
AADACL2|344752	0.0451	0.0158	0.0424	0	0.1884	0.4465	0.0292	0	0.1984	0.1357	0.3232	0.0129	0.2025	0.0166	0	0	0.0282	0	0	0.003	0.0157	0.0116	0.2471	0.0815	0.1019	0.3164	0.1488	0.2975	0.3917	0.1247	0.0879	1.2459	0.1904
AADACL3|126767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4|343066	0.0429	0	0	0	0.0292	0	0	0	0.0679	0	0	0.0246	0.0365	0.0316	0	0	0	0	0	0	0.015	0.0111	0.0071	0	0.0242	0.0385	0.1192	0	0.0356	0	0.0076	0	0
AADAC|13	31.4209	18.6651	71.5912	20.6069	46.7382	32.9914	35.0574	32.8453	15.4453	14.3326	14.4709	15.0775	87.103	6.3329	39.2365	10.5288	8.0789	11.899	81.9406	14.7846	74.3794	0.0435	0.0278	197.4714	0	0.0441	24.2755	0.0432	0.3748	1.1101	3.1327	1.9959	0.6119
AADAT|51166	1.0873	2.1589	0.6619	1.6824	0.9156	1.91	2.0641	1.9139	2.7389	1.2953	2.3816	1.8556	1.1538	1.9642	1.2331	0.8864	1.1139	0.7159	0.4556	0.9438	0.461	2.2553	2.2693	0.4549	4.1325	2.3921	3.8711	4.8468	3.5597	0.9791	1.6078	1.3994	0.7744
AAGAB|79719	10.5252	10.5824	11.467	14.8212	9.1486	17.2365	14.5245	13.7584	7.0097	11.6741	12.9284	9.5767	13.0024	8.2592	10.7671	10.7097	12.0209	7.6058	9.2895	8.1036	11.5983	6.2881	5.5984	11.4957	5.7733	7.1404	7.1535	5.8933	5.9306	7.4858	9.4194	11.1225	8.8722
AAK1|22848	2.2724	2.2698	2.2311	3.1917	3.047	0.489	1.1832	2.7805	2.6244	1.6909	1.6544	1.3782	4.2427	4.3935	2.3877	2.3665	2.1076	2.3643	2.1818	1.7787	2.5208	2.1668	2.9102	3.6648	4.3107	2.9837	3.274	3.9585	4.1499	2.1231	3.1114	2.6558	2.8785
AAMP|14	44.567	57.4325	51.9779	56.2746	47.5979	46.6969	62.796	65.1861	44.9691	38.6495	70.2632	44.6323	41.4118	35.0524	56.8637	62.9876	74.7975	47.9049	40.2549	48.638	53.3028	45.4425	28.1631	47.4211	24.4202	27.1284	32.3638	28.9191	22.2698	37.5393	30.1354	28.924	27.2013
AANAT|15	0.0731	0.022	0.037	0.0337	0.0467	0	0.0764	0.0332	0.0678	0.3031	0.046	0.068	0.0692	0.0537	0.0955	0	0.0591	0.1689	0.0509	0.014	0.0329	0.0309	0.0238	0.0246	0.0118	0.0364	0.0534	0.0429	0.0112	0.0068	0.0782	0.0346	0.0281
AARS2|57505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1|80755	2.9435	3.8505	2.6607	2.8429	3.8244	2.5346	2.8035	3.2799	6.5405	3.8849	4.018	4.6411	2.4413	3.5289	3.0244	2.5461	3.6574	2.3354	2.5932	2.5514	2.3236	12.1892	7.4993	1.8169	8.716	10.1823	10.0146	9.064	8.8566	2.6549	2.7242	2.5827	2.6146
AARS|16	28.6463	39.194	36.5867	51.9938	33.2603	10.365	23.568	32.4055	31.9902	22.5477	34.8922	22.1411	17.605	32.3293	25.1439	29.2749	47.852	24.8645	17.0188	25.5723	20.5586	33.9924	28.9745	13.4142	25.7766	26.5928	19.9418	25.5986	27.024	12.2772	9.6358	9.6346	13.4474
AASDHPPT|60496	6.4529	5.245	5.3393	9.5044	5.226	9.5876	7.2669	7.7737	6.2981	9.7982	6.9993	8.4715	5.6613	8.6849	4.0677	5.9007	5.2282	5.164	3.5265	5.2127	3.3821	6.6046	6.0515	4.2778	9.4991	11.2216	7.512	10.687	8.3467	7.4214	10.8883	10.7074	8.75
AASDH|132949	1.4137	1.1895	0.7083	1.5139	0.9369	1.0544	1.0665	1.3724	1.431	1.5276	1.3831	1.2455	1.5021	1.5988	0.8613	0.8331	0.9451	0.6874	0.7364	0.7112	0.6336	0.83	1.3378	0.9671	1.6286	1.9294	1.3348	1.5853	1.2798	1.1268	1.3121	1.6461	0.9919
AASS|10157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF|26574	18.7026	20.7604	16.978	18.0545	19.2926	8.4445	12.4846	19.2715	19.8106	15.6129	19.5104	16.4257	16.34	17.7736	20.5768	21.0046	19.4878	18.4575	15.1416	14.8004	20.229	17.2879	20.1353	17.5131	14.3334	17.6787	17.3186	14.12	14.935	14.732	11.4708	9.1969	11.5588
AATK|9625	4.8027	3.0662	5.0219	2.8882	7.7017	0.6866	1.6298	2.4915	5.9327	1.9676	1.9316	1.4858	11.5955	2.3967	6.5759	1.3004	2.8877	1.8944	8.8902	0.9397	7.9178	6.1012	3.7651	10.733	4.8784	5.1794	4.0139	4.5937	5.656	0.2396	0.3385	0.1431	0.9473
ABAT|18	8.3898	3.8947	15.3658	3.8301	12.8618	2.2634	1.8221	4.1881	4.5515	2.5485	3.9075	2.024	29.8204	3.5461	11.8554	1.3628	3.5463	1.7371	18.6811	2.0868	13.6854	1.1036	1.4787	40.7936	2.3803	4.075	8.0128	2.1033	1.7616	4.7094	5.7867	5.1778	4.8589
ABCA10|10349	0.2312	0.1813	0.0653	0.1078	0.2424	0.1307	0.1916	0.126	1.6122	0.361	0.1837	0.3638	0.6044	0.3687	0.1587	0.0242	0.0678	0.0827	0.164	0.0295	0.1414	0.5558	1.1244	0.3792	0.9127	0.8753	0.5419	1.1214	0.9767	0.0719	0.1724	0.2366	0.1891
ABCA11P|79963	1.5604	1.2079	1.3091	1.9775	1.563	1.5927	1.331	1.5934	2.1693	2.3407	1.7247	2.1823	1.9309	2.4255	1.5095	1.2713	1.7869	1.4064	1.4132	1.4153	1.0699	1.8272	1.9864	1.2726	2.9235	2.6174	1.977	3.4438	2.6989	1.3268	2.0875	2.5185	1.5921
ABCA12|26154	0.1101	0.5332	0.0054	0.2529	0.0228	0	0.1039	0.1582	0.1073	0.1965	0.1875	0.2472	0.0082	0.0085	0.3282	0.0939	0.2068	0.1459	0	0.1349	0.005	0.0056	0.0528	0.0397	0.3533	0.3377	0.1621	0.3854	0.3538	0.479	0.5272	0.6489	0.6788
ABCA13|154664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P|650655	0.0231	0.0066	0.0058	0.0053	0.0224	0.015	0	0.0046	0.0218	0.0324	0.0076	0.0435	0.007	0.0193	0.0056	0	0.0233	0	0.0079	0	0.0043	0.0857	0.0405	0.0225	0.0644	0.0518	0.0572	0.0594	0.0357	0	0.0183	0.0117	0.0213
ABCA1|19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2|20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3|21	1.145	2.9554	1.4887	1.9242	2.7413	0.3834	0.3959	1.3996	5.368	2.0481	1.6415	1.8078	1.1371	3.4711	1.5287	1.5206	3.1138	1.6935	0.9884	1.2233	0.9471	7.8735	8.6769	1.0021	6.6179	5.037	5.3623	7.6499	5.5752	1.5211	1.3152	0.965	2.6061
ABCA4|24	0.4623	0.022	0.5383	0.0168	0.3203	0.1056	0.0141	0.0172	0.083	0.062	0.0163	0.0483	0.2268	0.0289	0.3085	0	0.0197	0.0257	0.9609	0.0199	0.3242	0.0264	0.0292	0.1596	0.0138	0.0125	0.0481	0.025	0.0454	0.0198	0.0157	0.0112	0.0789
ABCA5|23461	1.4788	0.8456	1.0485	1.5284	1.5973	1.0065	0.6502	1.3593	1.4073	1.4369	1.292	0.8844	3.5236	1.6479	1.0843	0.598	0.7395	0.9248	1.0687	0.6185	0.8958	0.8942	1.0154	3.3976	1.2498	1.4415	1.5376	1.4719	1.4489	2.0998	2.8157	3.6764	1.5396
ABCA6|23460	0.6264	0.7742	0.3534	0.5571	0.891	0.4309	0.3223	0.4967	3.2454	1.0259	0.7737	1.2668	0.7287	2.2655	0.2581	0.4476	0.6154	0.4472	0.458	0.2735	0.4948	1.7152	4.4705	0.3086	2.5109	2.0186	1.4666	2.0955	1.7911	0.3285	0.3773	0.3364	0.4028
ABCA7|10347	1.7283	3.0041	1.6221	2.5057	2.58	0.2591	1.9957	2.5956	1.6208	4.6954	2.1846	2.601	2.8154	1.2724	2.9225	1.8312	2.0692	3.1175	1.2991	1.6153	1.2815	0.358	1.3769	3.2156	0.7261	0.4945	0.7665	0.7665	0.3447	1.7757	3.2884	1.7563	4.1317
ABCA8|10351	3.1579	3.7938	4.422	5.141	4.3653	3.4137	1.8711	3.4224	11.9366	3.0854	4.1835	2.7936	2.9226	7.4592	2.0503	2.7707	2.4537	2.9073	5.1283	3.3377	2.7706	7.2983	9.2162	1.3158	9.3003	8.5426	4.6153	9.9799	7.9258	0.1682	0.4363	0.2259	1.2902
ABCA9|10350	0.7183	1.0597	0.2261	0.1659	0.9703	0.3478	0.0222	0.1334	7.7353	0.4767	0.5254	1.1615	0.7195	3.9662	0.1236	0.1912	0.4612	0.1797	0.3796	0.1228	0.3793	2.0423	4.5831	0.2345	4.4229	3.779	2.706	4.3733	2.8763	0.246	0.2367	0.1091	0.2435
ABCB10|23456	4.6265	2.6564	3.7406	3.8936	5.3003	7.3047	2.5323	3.5511	4.699	3.8994	4.8473	3.5118	9.8809	3.8385	4.1276	2.4622	3.7124	2.2316	5.8322	1.7559	3.499	3.1058	3.6801	8.1776	6.7669	6.5067	5.2512	5.6837	5.5476	2.9991	5.6407	4.3527	3.8176
ABCB11|8647	0.0229	0.0316	0	0.0226	0.0112	0.0249	0.0111	0.0114	0.0044	0.0148	0.0167	0.0079	0.0115	0.0202	0.0248	0	0.0258	0.0087	0	0.0184	0	0	0.0136	0.0061	0	0.0144	0.0035	1e-04	0.0156	0.0178	0.0273	0.0064	0.0116
ABCB1|5243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4|5244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5|340273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6|10058	8.777	12.0288	9.4733	10.0608	11.3159	6.147	12.5709	10.8919	8.6786	7.383	12.629	6.7733	13.6559	7.1117	11.3382	10.5586	10.7577	8.1413	9.8926	7.6609	12.7931	8.6967	7.8201	22.0759	7.4123	8.4248	9.4962	7.6362	6.5718	12.4528	11.7874	10.7897	9.7137
ABCB7|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8|11194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB9|23457	1.8652	2.2251	1.5578	0.7065	0.9874	0.4614	1.9897	0.8807	0.8226	1.8814	0.8866	1.4607	0.7343	0.6798	1.3004	0.7727	1.1062	1.1109	1.4171	1.1204	0.7666	0.956	1.1904	1.2081	0.6043	0.4252	0.4499	0.729	0.527	0.8503	0.8935	0.7794	1.0678
ABCC10|89845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11|85320	0.0984	0.0047	0.1009	0.0115	0.2215	0	0.013	0.0397	0.0316	0.0089	0.0127	0.0384	0.1975	0	0.0323	0.0109	0	0.0125	0.1879	0.0157	0.0634	0.0068	0.0067	0.089	0	0.0419	0.0338	0.0041	0.0278	0.0303	0.0491	0.007	0.0303
ABCC12|94160	0.0035	0	0.0052	0.0201	0.003	0.0067	0.0472	0.0474	0.001	0.0453	0.0054	0.0216	0.0031	0.0621	0.0376	0.0155	0.0035	0.0068	0	0.0148	0.0038	0	0	0	0.0014	0	0	0	0	0	0.0051	0	0
ABCC13|150000	2.2095	0.026	0.5128	0.0674	0.9708	0.4171	0.0081	0	0.0662	0.0189	0.0366	0.0484	3.1974	0	0.4674	0.0765	0	0.0633	1.2902	0.005	1.6203	0	0.0039	1.2282	0.0031	0.0018	0.1222	0	0.0031	0	0.1795	0	0.1458
ABCC1|4363	8.3542	12.0743	7.2883	9.843	8.7579	1.4344	6.8166	10.9393	12.8599	7.3921	10.1107	5.8317	6.4482	12.3396	8.3685	6.8888	10.9899	8.3872	3.74	6.0968	3.9929	10.234	12.9707	2.972	13.8699	11.3563	10.8777	13.7221	13.4674	12.3084	15.7097	12.2838	14.7662
ABCC2|1244	3.2869	0.0748	3.4526	0.0573	7.7052	0.0983	0.0346	0.042	0.8164	0.1349	0.0958	0.0729	12.9317	0.0949	2.0037	0.0367	0.0335	0.055	5.81	0.0179	6.0857	0.051	0.1914	22.1459	0.0665	0.0741	1.2156	0.1813	0.1101	0.0493	0.0484	0.022	0.1101
ABCC3|8714	26.0344	22.8738	15.8028	24.3518	12.828	9.0323	19.3164	17.0224	13.9283	9.2011	28.1409	6.2746	48.8851	8.4613	32.0584	17.3418	33.3094	14.1423	27.4655	10.8067	23.4904	0.1632	0.2477	38.6888	0.1171	0.17	4.7086	0.3893	0.2763	2.3282	6.3986	2.7335	3.185
ABCC4|10257	2.2989	2.796	2.6612	3.4158	2.0699	1.3186	2.5325	2.6759	2.4307	2.7816	3.2212	2.3945	1.9399	1.8165	1.8731	1.9016	1.866	1.7522	1.3554	2.1223	1.5517	4.4496	0.982	1.3902	2.8617	3.0776	2.0054	3.2044	6.5689	0.5889	0.9671	0.8008	0.8627
ABCC5|10057	2.4403	8.9558	2.5036	10.8729	1.9736	3.5882	4.4364	6.2939	4.0175	4.8523	8.4908	2.7858	2.0605	5.5272	5.4154	3.3849	5.6589	5.8599	1.3212	5.5154	5.2317	1.6665	2.8233	2.434	2.8574	2.076	2.3795	2.9119	1.7909	3.8904	6.2426	4.7184	4.223
ABCC6P1|653190	0.727	0.4374	0.6126	0.9118	0.9418	0.5083	0.1691	0.5399	0.2971	0.4809	0.7825	0.4751	2.9877	0.227	0.466	0.3104	0.4362	0.7484	1.2022	0.4507	0.5742	0.0364	0.0232	5.0545	0.0208	0.0244	0.2022	0.063	0.0417	0	0	0.0088	0.049
ABCC6P2|730013	2.8702	0.7029	1.5208	0.9018	1.5676	6.057	0.6352	0.5307	0.8678	0.7532	0.7518	0.8218	3.1536	0.5262	2.2254	0.6235	1.0193	0.8167	3.4338	0.5129	4.0028	0.1484	0.3183	3.5692	0.1804	0.315	0.6043	0.0327	0.2534	0	0	0	0.3237
ABCC6|368	2.3774	1.2354	5.9224	1.9027	6.1029	1.3389	0.5557	2.281	2.0055	0.8802	2.4608	0.8199	9.5979	1.4175	4.9027	1.1503	1.6744	1.6021	7.5776	1.0933	4.8115	0.7091	0.0809	8.1917	0.257	0.5112	1.1181	0.4593	0.8438	0.0592	0.0822	0.0639	0.2564
ABCC8|6833	0.8052	0.388	0.4766	0.6545	0.9829	0.1153	0.1011	0.5649	2.0437	0.4663	0.2736	0.3609	0.5697	0.6777	0.6019	0.1755	0.688	0.328	0.8041	0.3863	0.2461	0.178	0.0959	0.2898	0.2415	0.6192	0.2754	0.5122	0.3803	0.0071	0.0065	0.0062	0.0133
ABCC9|10060	0.946	1.6598	0.6682	0.3133	2.0702	0.238	0.1817	0.4043	6.6975	0.8943	1.3386	1.6174	0.6754	6.2844	0.2389	0.2787	1.8236	0.2388	0.4551	0.2174	0.5033	8.0487	7.5831	0.2203	17.3721	10.9186	8.9495	12.6208	12.3527	0.2464	0.3481	0.2311	1.0018
ABCD1|215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2|225	0.2447	0.3756	0.4463	0.4637	0.2859	0.1601	0.5556	0.3545	0.6167	1.0697	0.3361	0.4735	0.186	0.6084	0.22	0.2124	0.4021	0.5101	0.1092	0.2617	0.1216	0.4213	0.5716	0.1007	0.8699	0.7258	0.4171	0.8832	0.6043	0.0453	0.0437	0.0265	0.0157
ABCD3|5825	12.2295	9.8717	12.941	17.0143	11.4584	17.8328	11.3546	15.1509	7.3229	9.2464	16.2353	8.2433	27.8314	9.1208	9.2189	11.2392	10.599	6.2612	12.6727	7.6533	11.131	4.0847	5.387	21.9013	6.0836	7.39	8.7255	6.3939	5.7232	9.1128	12.846	15.7542	6.3887
ABCD4|5826	9.5877	6.9582	8.469	6.2687	10.2788	5.8632	6.7544	6.2268	7.666	7.5245	9.0226	6.6848	16.2935	4.4397	10.4802	4.2166	7.5032	5.3339	10.5027	6.0546	9.1912	3.9835	5.2443	22.0042	4.5667	5.0657	5.8414	5.7436	3.8003	3.1443	3.935	3.3208	3.6684
